morning-afternoon-monday-friday,,,,,,,,
Allston Campus Express,,,,,,,,
Soldiers Field Park,Hi Lab HBS,Stadium,HKS,Harvard Square,WCC,Maxwell Dworkin,Memorial Hall,Lamont Library
7:00 AM,7:00,7:02,7:08,7:10,7:12,7:14,7:15,7:20
7:30,7:30,7:32,7:38,7:40,7:42,7:44,7:45,7:50
7:45,7:45,7:47,7:53,7:55,7:57,7:59,8:00,8:05
8:00,8:00,8:02,8:08,8:10,8:12,8:14,8:15,8:20
8:15,8:15,8:17,8:23,8:25,8:27,8:29,8:30,8:35
8:30,8:30,8:32,8:38,8:40,8:42,8:44,8:45,8:50
8:45,8:45,8:47,8:53,8:55,8:57,8:59,9:00,9:05
9:00,9:00,9:02,9:08,9:10,9:12,9:14,9:15,9:20
9:15,9:15,9:17,9:23,9:25,9:27,9:29,9:30,9:35
9:30,9:30,9:32,9:38,9:40,10:00,10:02,10:05,10:10
9:45,9:45,9:47,9:53,9:55,9:57,9:59,10:00,10:05
10:15,10:15,10:17,10:23,10:25,10:27,10:29,10:30,10:35
10:45,10:45,10:47,10:53,10:55,10:57,10:59,11:00,11:05
11:00,11:00,11:02,11:08,11:10,11:12,11:14,11:15,11:20
11:15,11:15,11:17,11:23,11:25,11:27,11:29,11:30,11:35
11:30,11:30,11:32,11:38,11:40,11:42,11:44,11:45,11:50
12:00 PM,12:00,12:02,12:08,12:10,12:12,12:14,12:15,12:20
12:15,12:15,12:17,12:23,12:25,12:27,12:29,12:30,12:35
12:30,12:30,12:32,12:38,12:40,12:42,12:44,12:45,12:50
12:45,12:45,12:47,12:53,12:55,12:57,12:59,1:00,1:05
1:00,1:00,1:02,1:08,1:10,1:12,1:14,1:15,1:20
1:15,1:15,1:17,1:23,1:25,1:27,1:29,1:30,1:35
1:30,1:30,1:32,1:38,1:40,1:42,1:44,1:45,1:50
1:45,1:45,1:47,1:53,1:55,1:57,1:59,2:00,2:05
2:00,2:00,2:02,2:08,2:10,To Allston Campus,,,
2:15,2:15,2:17,2:23,2:25,2:27,2:29,2:30,2:35
2:30,2:30,2:32,2:38,2:40,2:42,2:44,2:45,2:50
2:45,2:45,2:47,2:53,2:55,2:57,2:59,3:00,3:05
3:00,3:00,3:02,3:08,3:10,3:12,3:14,3:15,3:20
3:15,3:15,3:17,3:23,3:25,3:27,3:29,3:30,3:35
3:30,3:30,3:32,3:38,3:40,3:42,3:44,3:45,3:50
3:45,3:45,3:47,3:53,3:55,To AllstonCampus,,,
4:00,4:00,4:02,4:08,4:10,4:12,4:14,4:15,4:20
